"n","region","cod","capital","zona","eje","meta","ministerios","prioridad","plazo"
"1","Arica y Parinacota","XV","Arica","Norte Grande","Seguridad y Orden Público","Reforzar contingente FF.AA. en frontera norte y paso Chacalluta · Plan Fronterizo Macrozona Norte con presencia permanente y capacidades de disuasión frente al crimen organizado transnacional","Min. Defensa Nacional
Min. del Interior y Seguridad Pública
Min. de Relaciones Exteriores (MINREL)","Alta","2026–2027"
"2","Arica y Parinacota","XV","Arica","Norte Grande","Infraestructura y Conectividad","Modernizar el paso fronterizo Chacalluta como infraestructura crítica nacional: habilitación tecnológica, control biométrico y mejora de flujos migratorios regulares","Min. de Relaciones Exteriores
Min. de Obras Públicas (MOP)
Min. del Interior","Alta","2026–2027"
"3","Arica y Parinacota","XV","Arica","Norte Grande","Desarrollo Económico y Empleo","Establecer mecanismos de cooperación para migración ordenada, regular y segura en la frontera norte · Coordinación multilateral con Bolivia y Perú","Min. de Relaciones Exteriores
Min. del Interior
Gobierno Regional","Alta","2026–2027"
"4","Arica y Parinacota","XV","Arica","Norte Grande","Vivienda y Urbanismo","Ampliar oferta de vivienda social en zonas fronterizas · Reducir déficit habitacional en comunas con alta presión migratoria, priorizando lista de espera de familias chilenas","MINVU (Seremi / Serviu XV)
Min. de Bienes Nacionales
Gobierno Regional","Alta","2026–2027"
"5","Tarapacá","I","Iquique","Norte Grande","Seguridad y Orden Público","Implementar Plan Fronterizo con FF.AA. en Colchane y pasos no habilitados de la precordillera · Despliegue coordinado con PDI y Carabineros para control de ingreso clandestino","Min. Defensa Nacional
Min. del Interior y Seguridad Pública
Min. de Seguridad Pública","Alta","2026–2027"
"6","Tarapacá","I","Iquique","Norte Grande","Desarrollo Económico y Empleo","Potenciar Zona Franca de Iquique (ZOFRI) como hub comercial regional y plataforma de exportación hacia el norte de Chile y el Cono Sur","Min. de Hacienda
Min. de Economía, Fomento y Turismo
Gobierno Regional","Alta","2026–2027"
"7","Tarapacá","I","Iquique","Norte Grande","Energía y Transición Energética","Desarrollar capacidades de almacenamiento energético a gran escala asociadas a las ERNC del desierto · Pilotos de baterías para reducir el vertimiento solar y estabilizar el SEN en el norte","Min. de Energía
Min. de Minería
Gobierno Regional","Media","2027–2028"
"8","Antofagasta","II","Antofagasta","Norte Grande","Desarrollo Económico y Empleo","Redefinir estrategia nacional del Litio con impacto directo en royalty, empleos locales y encadenamiento productivo regional · Establecer estatuto especial para Tierras Raras e inversiones estratégicas mineras","Min. de Minería
Min. de Hacienda
Gobierno Regional","Alta","2026–2027"
"9","Antofagasta","II","Antofagasta","Norte Grande","Medio Ambiente y Territorio","Gestión hídrica prioritaria: avanzar en embalses y sistemas de agua para el consumo humano, la minería y las comunidades indígenas del altiplano · Articulación MOP-DGA con sector minero","Min. de Obras Públicas (DGA)
Min. de Minería
Min. de Agricultura","Alta","2026–2027"
"10","Antofagasta","II","Antofagasta","Norte Grande","Energía y Transición Energética","Desarrollar el Polo de Hidrógeno Verde del norte: producción H2V con energía solar del Desierto de Atacama orientada a exportación · Implementar sandboxes regulatorios para almacenamiento e innovación minero-energética","Min. de Energía
Min. de Minería
Min. de Relaciones Exteriores","Alta","2026–2027"
